author_id,display_name_en,display_name_he,outlet,frequency,gender,country_of_citizenship,place_of_residence,ethnonational_identity,author_status,author_status_label,institutional_author,author_url
noam_sheizaf,Noam Sheizaf,נועם שיזף,972 Magazine,699.0,m,IL,Israel,J,1,Israeli Jew,972 Magazine,https://www.972mag.com/writer/noams/|https://www.972mag.com/writer/972-magazine/
mairav_zonszein,Mairav Zonszein,מרב זונשיין,972 Magazine,391.0,f,IL | USA,Israel,J,1,Israeli Jew,nan,https://www.972mag.com/writer/mairavz/
ami_kaufman,Ami Kaufman,עמי קאופמן,972 Magazine,357.0,m,IL,GB,J,1,Israeli Jew,nan,https://www.972mag.com/writer/amik/
haggai_matar,Haggai Matar,חגי מטר,972 Magazine,319.0,m,IL,Israel,J,1,Israeli Jew,nan,https://www.972mag.com/writer/haggaim/
yossi_gurvitz,Yossi Gurvitz,אישתון,972 Magazine,304.0,m,IL,Israel,J,1,Israeli Jew,972 Magazine,nan
dahlia_scheindlin,Dahlia Scheindlin,דליה שיינדלין,972 Magazine,290.0,f,IL | USA,Israel | USA,J,1,Israeli Jew,nan,https://www.972mag.com/writer/dahlias/
michael_schaeffer_omer_man,Michael Schaeffer Omer-Man,מיכאל שפר עומר-מן,972 Magazine,269.0,m,Israel | USA,Israel | USA,J,1,Israeli Jew,nan,https://www.972mag.com/writer/michaelom/
larry_derfner,Larry Derfner,לארי דרפנר,972 Magazine,244.0,m,nan,nan,J,1,Israeli Jew,nan,https://www.972mag.com/writer/larryd/
joseph_dana,Joseph Dana,nan,972 Magazine,233.0,m,nan,nan,J,1,Israeli Jew,972 Magazine,https://www.972mag.com/writer/josephd/|https://www.972mag.com/writer/972-magazine/
yuval_ben_ami,Yuval Ben-Ami,יובל בן-עמי,972 Magazine,205.0,m,nan,nan,J,1,Israeli Jew,nan,https://www.972mag.com/writer/yuvalbe/
dimi_reider,Dimi Reider,דימי ריידר,972 Magazine,198.0,m,nan,nan,J,1,Israeli Jew,nan,https://www.972mag.com/writer/dimir/
oren_ziv,Oren Ziv,אורן זיו,972 Magazine,197.0,m,nan,nan,J,1,Israeli Jew,Activestills,https://www.972mag.com/writer/orenziv/|https://www.972mag.com/writer/activestills/
edo_konrad,Edo Konrad,עדו קונרד,972 Magazine,176.0,m,nan,nan,J,1,Israeli Jew,nan,https://www.972mag.com/writer/edokonrad/
orly_noy,Orly Noy,אורלי נוי,972 Magazine,150.0,f,nan,nan,J,1,Israeli Jew,nan,https://www.972mag.com/writer/orlyn/
mya_guarnieri_jaradat,Mya Guarnieri Jaradat,מאיה גוארניירי,972 Magazine,138.0,f,nan,nan,A,7,Other / not identified,nan,https://www.972mag.com/writer/myag/
