url,Source,Authors(Temp),filename,Date,Title,institutional author,translators,tags,page_type
https://www.mekomit.co.il/כך-משכתב-הלובי-הפרו-ישראלי-את-ספרי-הלימ/,LocalCall,ארון קלר,www_mekomit_co_il_d79bd79a-d79ed7a9d79bd7aad791-d794d79cd795d791d799-d794d7a4d7a8d795-d799d7a9d7a8d7.html,2021-7-28,כך משכתב הלובי הפרו-ישראלי את ספרי הלימוד בבריטניה - שיחה מקומית,,,,
https://www.mekomit.co.il/stream/פעילות-פיזרו-גלויות-במרכז-תל-אביב-כמחא/,LocalCall,NOT AVAILABLE,www_mekomit_co_il_stream_d7a4d7a2d799d79cd795d7aa-d7a4d799d796d7a8d795-d792d79cd795d799d795d7aa-d791.html,2014-7-21,פעילות פיזרו גלויות במרכז תל אביב כמחאה נגד ההתקפה על עזה  - שיחה מקומית,,,,
https://www.mekomit.co.il/נגיף-הקורונה-עושה-שמות-בדמוקרטיה-הישר/,LocalCall,אברום בורג,www_mekomit_co_il_d7a0d792d799d7a3-d794d7a7d795d7a8d795d7a0d794-d7a2d795d7a9d794-d7a9d79ed795d7aa-d7.html,2020-3-26,נגיף הקורונה עושה שמות בדמוקרטיה הישראלית - שיחה מקומית,,,,
https://www.mekomit.co.il/איחוד-הימין-הוא-ניסיון-לשמור-על-חשבונ/,LocalCall,מאיר עמור,www_mekomit_co_il_d790d799d797d795d793-d794d799d79ed799d79f-d794d795d790-d7a0d799d7a1d799d795d79f-d7.html,2019-3-20,איחוד הימין הוא ניסיון לשמור על חשבונות הבנק של הציונות הדתית - שיחה מקומית,,,,
https://www.mekomit.co.il/נתניהו-פוטין-וצנזורה-עממית/,LocalCall,ארקדי מזין,www_mekomit_co_il_d7a0d7aad7a0d799d794d795-d7a4d795d798d799d79f-d795d7a6d7a0d796d795d7a8d794-d7a2d79.html,2016-1-19,כשלביבי בורח הפוטין: על היעילות של צנזורה עממית - שיחה מקומית,,,,
https://www.mekomit.co.il/השחיתות-נמצאת-בקו-המחבר-בין-גבעת-עמל-לא/,LocalCall,אורלי נוי,www_mekomit_co_il_d794d7a9d797d799d7aad795d7aa-d7a0d79ed7a6d790d7aa-d791d7a7d795-d794d79ed797d791d7a.html,2017-12-25,השחיתות נמצאת בקו המחבר בין גבעת עמל לאל עראקיב - שיחה מקומית,,,,
https://www.mekomit.co.il/פסטיבל-יאפא-לאופטימיות-אנשים-חזרו-לחי/,LocalCall,אורלי נוי,www_mekomit_co_il_d7a4d7a1d798d799d791d79c-d799d790d7a4d790-d79cd790d795d7a4d798d799d79ed799d795d7aa.html,2022-5-17,"פסטיבל יאפא לאופטימיות: ""אנשים חזרו לחיות ביחד, וחוזרים גם לתיאטרון"" - שיחה מקומית",,,,
https://www.mekomit.co.il/אי-צדק-פואטי-נפתח-משפטה-של-משוררת-שנעצר/,LocalCall,יואב חיפאווי,www_mekomit_co_il_d790d799-d7a6d793d7a7-d7a4d795d790d798d799-d7a0d7a4d7aad797-d79ed7a9d7a4d798d794-d.html,2016-4-16,אי-צדק פואטי: נפתח משפטה של משוררת שנעצרה בשל פרסומים בפייסבוק - שיחה מקומית,,,,
https://www.mekomit.co.il/רוצים-שוויון-בנטל-תפרידו-דת-ממדינה/,LocalCall,אורלי נוי,www_mekomit_co_il_d7a8d795d7a6d799d79d-d7a9d795d795d799d795d79f-d791d7a0d798d79c-d7aad7a4d7a8d799d79.html,2024-7-1,"רוצים ""שוויון בנטל""? תפרידו דת ממדינה - שיחה מקומית",,,,
https://www.mekomit.co.il/ירושלים-וההבדל-בין-אבנים-של-יהודים-וער/,LocalCall,נדב פרץ וייסוידובסקי,www_mekomit_co_il_d799d7a8d795d7a9d79cd799d79d-d795d794d794d791d793d79c-d791d799d79f-d790d791d7a0d79.html,2015-9-18,יש הבדל אחד חשוב בין זורקי אבנים יהודים וערבים - שיחה מקומית,,,,
https://www.mekomit.co.il/סמוטריץ-מבקש-מחיר-בדם-והממשלה-נעתרת/,LocalCall,אורן זיו|מירון רפופורט,www_mekomit_co_il_d7a1d79ed795d798d7a8d799d7a5-d79ed791d7a7d7a9-d79ed797d799d7a8-d791d793d79d-d795d7.html,2025-1-23,"סמוטריץ' מבקש מחיר בדם, והממשלה נעתרת - שיחה מקומית",,,,
https://www.mekomit.co.il/כך-הפכתי-ללקוחה-שבויה-של-סל-שיקום/,LocalCall,מיכל בסן,www_mekomit_co_il_d79bd79a-d794d7a4d79bd7aad799-d79cd79cd7a7d795d797d794-d7a9d791d795d799d794-d7a9d7.html,2015-9-29,"כך הפכתי ללקוחה שבויה של ""סל שיקום"" - שיחה מקומית",,,,
https://www.mekomit.co.il/לאחר-מותו-שמואל-הלוי-וואזנר/,LocalCall,אלי ביתאן,www_mekomit_co_il_d79cd790d797d7a8-d79ed795d7aad795-d7a9d79ed795d790d79c-d794d79cd795d799-d795d795d7.html,2015-4-5,הגדול החרדי המוסכם האחרון: לאחר מותו של הרב שמואל הלוי וואזנר - שיחה מקומית,,,,
https://www.mekomit.co.il/הרשימה-המשותפת-חייבת-ללמוד-לשחק-במגרש/,LocalCall,אמג'ד עיראקי,www_mekomit_co_il_d794d7a8d7a9d799d79ed794-d794d79ed7a9d795d7aad7a4d7aa-d797d799d799d791d7aa-d79cd79_1.html,2015-12-20,הרשימה המשותפת חייבת ללמוד לשחק במגרש של הגדולים - שיחה מקומית,,,,
https://www.mekomit.co.il/בחירות-של-תקווה/,LocalCall,חגי מטר,www_mekomit_co_il_d791d797d799d7a8d795d7aa-d7a9d79c-d7aad7a7d795d795d794_.html,2015-3-16,בחירות של תקווה - שיחה מקומית,,,,
https://www.mekomit.co.il/השמאל-והאתוס-ההרסני-של-ההקרבה-העצמית/,LocalCall,מיכאל ספיר,www_mekomit_co_il_d794d7a9d79ed790d79c-d795d794d790d7aad795d7a1-d794d794d7a8d7a1d7a0d799-d7a9d79c-d7.html,2020-5-26,השמאל והאתוס ההרסני של ההקרבה העצמית - שיחה מקומית,,,,
https://www.mekomit.co.il/המסגדים-היו-המרחב-הציבורי-היחיד-בסורי/,LocalCall,אליזבט צורקוב,www_mekomit_co_il_d794d79ed7a1d792d793d799d79d-d794d799d795-d794d79ed7a8d797d791-d794d7a6d799d791d79.html,2021-4-29,"המסגדים היו המרחב הציבורי היחיד בסוריה, לכן אסד נלחם בהם - שיחה מקומית",,,,
https://www.mekomit.co.il/גלעד-ארדן-נגד-פייסבוק/,LocalCall,סבסטיאן בן דניאל (ג'ון בראון),www_mekomit_co_il_d792d79cd7a2d793-d790d7a8d793d79f-d7a0d792d793-d7a4d799d799d7a1d791d795d7a7_.html,2016-7-3,"במקום להשתלח בצוקרברג, על ארדן להפנות את טענותיו לצה""ל - שיחה מקומית",,,,
https://www.mekomit.co.il/קריאה-משותפת-צמצום-פערים/,LocalCall,גיל גרטל,www_mekomit_co_il_d7a7d7a8d799d790d794-d79ed7a9d795d7aad7a4d7aa-d7a6d79ed7a6d795d79d-d7a4d7a2d7a8d79.html,2025-7-17,קריאה משותפת עם הילדים: הכוח של ההורים לצמצם פערים - שיחה מקומית,,,,
https://www.mekomit.co.il/שכחנו-את-מורות-מורי-הקבלן/,LocalCall,גיל גרטל,www_mekomit_co_il_d7a9d79bd797d7a0d795-d790d7aa-d79ed795d7a8d795d7aa-d79ed795d7a8d799-d794d7a7d791d7.html,2017-5-26,הי! שוב פעם שכחנו את מורות ומורי הקבלן - שיחה מקומית,,,,
https://www.mekomit.co.il/ישראל-והחונטה-הצבאית-ביוון-יחסים-של-קר/,LocalCall,איתי מק,www_mekomit_co_il_d799d7a9d7a8d790d79c-d795d794d797d795d7a0d798d794-d794d7a6d791d790d799d7aa-d791d79.html,2019-7-28,"ישראל והחונטה הצבאית ביוון: נשק, נפט וקרבה אידיאולוגית - שיחה מקומית",,,,
https://www.mekomit.co.il/חטא-ההיבריס-של-המנהיגים-הדרוזים/,LocalCall,פאדי מקלדה,www_mekomit_co_il_d797d798d790-d794d794d799d791d7a8d799d7a1-d7a9d79c-d794d79ed7a0d794d799d792d799d79.html,2020-5-20,חטא ההיבריס של המנהיגים הדרוזים - שיחה מקומית,,,,
https://www.mekomit.co.il/ביאס-אותי-שמחאו-לנו-כפיים-אנחנו-רק-ציצ/,LocalCall,לילך בן דוד,www_mekomit_co_il_d791d799d790d7a1-d790d795d7aad799-d7a9d79ed797d790d795-d79cd7a0d795-d79bd7a4d799d7.html,2020-7-25,"ביאס אותי שמחאו לנו כפיים, אנחנו רק ציצים, לא הנושא"" - שיחה מקומית",,,,
https://www.mekomit.co.il/טראומה-ייחודית-בעוצמתה-ילדים-בעזה-וב/,LocalCall,רועי כהן,www_mekomit_co_il_d798d7a8d790d795d79ed794-d799d799d797d795d793d799d7aa-d791d7a2d795d7a6d79ed7aad794.html,2023-11-27,"טראומה ייחודית בעוצמתה"": ילדים בעזה ובישראל מתמודדים עם המלחמה - שיחה מקומית",,,,
https://www.mekomit.co.il/יפיע-אחרי-הטבח-תחושה-של-ייאוש/,LocalCall,אורן זיו,www_mekomit_co_il_d799d7a4d799d7a2-d790d797d7a8d799-d794d798d791d797-d7aad797d795d7a9d794-d7a9d79c-d.html,2023-6-11,"יפיע אחרי הטבח: ""תחושה של ייאוש"" - שיחה מקומית",,,,
https://www.mekomit.co.il/stream/האם-סייד-קשוע-מתכוון-לפרוש-מכתיבת-טורו/,LocalCall,NOT AVAILABLE,www_mekomit_co_il_stream_d794d790d79d-d7a1d799d799d793-d7a7d7a9d795d7a2-d79ed7aad79bd795d795d79f-d79.html,2016-3-17,האם סייד קשוע מתכוון לפרוש מכתיבת טורו ב'הארץ' ולהפסיק לכתוב בעברית?  - שיחה מקומית,,,,
https://www.mekomit.co.il/עתירה-צעדת-השיבה/,LocalCall,מירון רפופורט,www_mekomit_co_il_d7a2d7aad799d7a8d794-d7a6d7a2d793d7aa-d794d7a9d799d791d794_.html,2018-5-1,"המדינה לבג""ץ: לא ניתן ליישם דיני זכויות אדם על המפגינים בגבול עזה - שיחה מקומית",,,,
