corpus_name,canonical_author_id,name_script,source,confidence,status
A. Daniel Roth,a_daniel_roth,EN,spreadsheet_exact,1.0,accepted
A.M. Poppy,a_m_poppy,EN,spreadsheet_exact,1.0,accepted
Aaron Kaiser-Chen,aaron_kaiser_chen,EN,spreadsheet_exact,1.0,accepted
Aaron Magid,aaron_magid,EN,spreadsheet_exact,1.0,accepted
Abby C. Wheatley,abby_c_wheatley,EN,spreadsheet_exact,1.0,accepted
Abdallah Aljazzar,abdallah_aljazzar,EN,spreadsheet_exact,1.0,accepted
Abdulla Moaswes,abdulla_moaswes,EN,spreadsheet_exact,1.0,accepted
Abe Silberstein,abe_silberstein,EN,spreadsheet_exact,1.0,accepted
Abed Abou Shhadeh,abed_abou_shhadeh,EN,spreadsheet_exact,1.0,accepted
Abed Kannaneh,abed_kannaneh,EN,spreadsheet_exact,1.0,accepted
Abeer Ayyoub,abeer_ayyoub,EN,spreadsheet_exact,1.0,accepted
Abir Kopty,abir_kopty,EN,spreadsheet_exact,1.0,accepted
Abraham Gutman,abraham_gutman,EN,spreadsheet_exact,1.0,accepted
Adam Bashar,adam_bashar,EN,spreadsheet_exact,1.0,accepted
Adam Grannick,adam_grannick,EN,spreadsheet_exact,1.0,accepted
Adam Keller,adam_keller,EN,spreadsheet_exact,1.0,accepted
Adam Shatz,adam_shatz,EN,spreadsheet_exact,1.0,accepted
Adi Golan Bikhnafo,adi_golan_bikhnafo,EN,spreadsheet_exact,1.0,accepted
Adv. Itai Mack,adv_itai_mack,EN,spreadsheet_exact,1.0,accepted
Aeyal Gross,aeyal_gross,EN,spreadsheet_exact,1.0,accepted
Ahmad Al-Bazz,ahmad_al_bazz,EN,spreadsheet_exact,1.0,accepted
Ahmad Nawajah,ahmad_nawajah,EN,spreadsheet_exact,1.0,accepted
Ahmad Rafat,ahmad_rafat,EN,spreadsheet_exact,1.0,accepted
Ahmadiel Ben Yehuda,ahmadiel_ben_yehuda,EN,spreadsheet_exact,1.0,accepted
Ahmed Abu Artema,ahmed_abu_artema,EN,spreadsheet_exact,1.0,accepted
Ahmed Ahmed,ahmed_ahmed,EN,spreadsheet_exact,1.0,accepted
Ahmed G. Ferwana,ahmed_g_ferwana,EN,spreadsheet_exact,1.0,accepted
Ahmed Moor,ahmed_moor,EN,spreadsheet_exact,1.0,accepted
Ahmed Rizk,ahmed_rizk,EN,spreadsheet_exact,1.0,accepted
Akiva Miller,akiva_miller,EN,spreadsheet_exact,1.0,accepted
Akram Natsheh,akram_natsheh,EN,spreadsheet_exact,1.0,accepted
Ala Hlehel,ala_hlehel,EN,spreadsheet_exact,1.0,accepted
Alaa Salama,alaa_salama,EN,spreadsheet_exact,1.0,accepted
Alan Johnson,alan_johnson,EN,spreadsheet_exact,1.0,accepted
Alan Traister,alan_traister,EN,spreadsheet_exact,1.0,accepted
Alba Nabulsi,alba_nabulsi,EN,spreadsheet_exact,1.0,accepted
Alex Kane,alex_kane,EN,spreadsheet_exact,1.0,accepted
Alex Stein,alex_stein,EN,spreadsheet_exact,1.0,accepted
Alexandr Nabokov,alexandr_nabokov,EN,spreadsheet_exact,1.0,accepted
Alexei Sisulu Abrahams,alexei_sisulu_abrahams,EN,spreadsheet_exact,1.0,accepted
Alexis Thiry,alexis_thiry,EN,spreadsheet_exact,1.0,accepted
Ali Fathollah-Nejad,ali_fathollah_nejad,EN,spreadsheet_exact,1.0,accepted
Ali Reza Eshraghi,ali_reza_eshraghi,EN,spreadsheet_exact,1.0,accepted
Alice Austin,alice_austin,EN,spreadsheet_exact,1.0,accepted
Alice Mishkin,alice_mishkin,EN,spreadsheet_exact,1.0,accepted
Alice Su,alice_su,EN,spreadsheet_exact,1.0,accepted
Alison Morgan,alison_morgan,EN,spreadsheet_exact,1.0,accepted
Ally Fernandez,ally_fernandez,EN,spreadsheet_exact,1.0,accepted
Alma Biblash,alma_biblash,EN,spreadsheet_exact,1.0,accepted
Almog Behar,almog_behar,EN,spreadsheet_exact,1.0,accepted
Alon Arad,alon_arad,EN,spreadsheet_exact,1.0,accepted
Alon Aviram,alon_aviram,EN,spreadsheet_exact,1.0,accepted
Alon Cohen-Lifshitz,alon_cohen_lifshitz,EN,spreadsheet_exact,1.0,accepted
Alon Mizrahi,alon_mizrahi,EN,spreadsheet_exact,1.0,accepted
Alon-Lee Green,alon_lee_green,EN,spreadsheet_exact,1.0,accepted
Amahl Bishara,amahl_bishara,EN,spreadsheet_exact,1.0,accepted
Ameer Makhoul,ameer_makhoul,EN,spreadsheet_exact,1.0,accepted
Amer Zahr,amer_zahr,EN,spreadsheet_exact,1.0,accepted
Amer ‘Aruri,amer_aruri,EN,spreadsheet_exact,1.0,accepted
Ami Asher,ami_asher,EN,spreadsheet_exact,1.0,accepted
Ami Kaufman,ami_kaufman,EN,spreadsheet_exact,1.0,accepted
Ami Yares,ami_yares,EN,spreadsheet_exact,1.0,accepted
Amir Heinitz,amir_heinitz,EN,spreadsheet_exact,1.0,accepted
Amir Rotem,amir_rotem,EN,spreadsheet_exact,1.0,accepted
Amir Segal,amir_segal,EN,spreadsheet_exact,1.0,accepted
Amiram Goldblum,amiram_goldblum,EN,spreadsheet_exact,1.0,accepted
Amit Gilutz,amit_gilutz,EN,spreadsheet_exact,1.0,accepted
Amitai Ben-Abba,amitai_ben_abba,EN,spreadsheet_exact,1.0,accepted
Amjad Alqasis,amjad_alqasis,EN,spreadsheet_exact,1.0,accepted
Amjad Iraqi,amjad_iraqi,EN,spreadsheet_exact,1.0,accepted
Amjad Yaghi,amjad_yaghi,EN,spreadsheet_exact,1.0,accepted
Amnon Brownfield Stein,amnon_brownfield_stein,EN,spreadsheet_exact,1.0,accepted
Amos Brison,amos_brison,EN,spreadsheet_exact,1.0,accepted
Amos Goldberg,amos_goldberg,EN,spreadsheet_exact,1.0,accepted
Anas Almassri,anas_almassri,EN,spreadsheet_exact,1.0,accepted
Anat Matar,anat_matar,EN,spreadsheet_exact,1.0,accepted
Anat Saragusti,anat_saragusti,EN,spreadsheet_exact,1.0,accepted
Anat Yorovski,anat_yorovski,EN,spreadsheet_exact,1.0,accepted
Andrew Miller,andrew_miller,EN,spreadsheet_exact,1.0,accepted
