url,Source,Authors(Temp),filename,Date,Title,institutional author,translators,tags,page_type,_date_parsed,_authors,_word_count,_total_matches,_matched_terms,_term_TERM_002,_term_TERM_002_per1k,_term_TERM_005,_term_TERM_005_per1k,_term_TERM_011,_term_TERM_011_per1k,_term_TERM_014,_term_TERM_014_per1k,_term_TERM_010,_term_TERM_010_per1k,_term_TERM_007,_term_TERM_007_per1k,_term_TERM_004,_term_TERM_004_per1k,_term_TERM_013,_term_TERM_013_per1k,_term_TERM_017,_term_TERM_017_per1k,_term_TERM_001,_term_TERM_001_per1k,_term_TERM_018,_term_TERM_018_per1k,_term_TERM_012,_term_TERM_012_per1k,_term_TERM_019,_term_TERM_019_per1k,_term_TERM_015,_term_TERM_015_per1k,_term_TERM_003,_term_TERM_003_per1k,_term_TERM_016,_term_TERM_016_per1k,_term_TERM_009,_term_TERM_009_per1k,_term_TERM_006,_term_TERM_006_per1k,_term_TERM_008,_term_TERM_008_per1k
https://www.mekomit.co.il/כך-משכתב-הלובי-הפרו-ישראלי-את-ספרי-הלימ/,LocalCall,ארון קלר,www_mekomit_co_il_d79bd79a-d79ed7a9d79bd7aad791-d794d79cd795d791d799-d794d7a4d7a8d795-d799d7a9d7a8d7.html,2021-7-28,כך משכתב הלובי הפרו-ישראלי את ספרי הלימוד בבריטניה - שיחה מקומית,,,,,2021-07-28,aron_keller,3227,12,"Colonialism (2), Zionism (4), Peace (4), Massacre (2)",2.0,0.6198,4.0,1.2395,4.0,1.2395,2.0,0.6198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/stream/פעילות-פיזרו-גלויות-במרכז-תל-אביב-כמחא/,LocalCall,NOT AVAILABLE,www_mekomit_co_il_stream_d7a4d7a2d799d79cd795d7aa-d7a4d799d796d7a8d795-d792d79cd795d799d795d7aa-d791.html,2014-7-21,פעילות פיזרו גלויות במרכז תל אביב כמחאה נגד ההתקפה על עזה  - שיחה מקומית,,,,,2014-07-21,not_available,240,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/נגיף-הקורונה-עושה-שמות-בדמוקרטיה-הישר/,LocalCall,אברום בורג,www_mekomit_co_il_d7a0d792d799d7a3-d794d7a7d795d7a8d795d7a0d794-d7a2d795d7a9d794-d7a9d79ed795d7aa-d7.html,2020-3-26,נגיף הקורונה עושה שמות בדמוקרטיה הישראלית - שיחה מקומית,,,,,2020-03-26,אברום_בורג,1339,2,Occupation (2),,,,,,,,,2.0,1.4937,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/איחוד-הימין-הוא-ניסיון-לשמור-על-חשבונ/,LocalCall,מאיר עמור,www_mekomit_co_il_d790d799d797d795d793-d794d799d79ed799d79f-d794d795d790-d7a0d799d7a1d799d795d79f-d7.html,2019-3-20,איחוד הימין הוא ניסיון לשמור על חשבונות הבנק של הציונות הדתית - שיחה מקומית,,,,,2019-03-20,מאיר_עמור,3316,27,"Zionism (11), Occupation (16)",,,11.0,3.3172,,,,,16.0,4.8251,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/נתניהו-פוטין-וצנזורה-עממית/,LocalCall,ארקדי מזין,www_mekomit_co_il_d7a0d7aad7a0d799d794d795-d7a4d795d798d799d79f-d795d7a6d7a0d796d795d7a8d794-d7a2d79.html,2016-1-19,כשלביבי בורח הפוטין: על היעילות של צנזורה עממית - שיחה מקומית,,,,,2016-01-19,ארקדי_מזין,1419,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/השחיתות-נמצאת-בקו-המחבר-בין-גבעת-עמל-לא/,LocalCall,אורלי נוי,www_mekomit_co_il_d794d7a9d797d799d7aad795d7aa-d7a0d79ed7a6d790d7aa-d791d7a7d795-d794d79ed797d791d7a.html,2017-12-25,השחיתות נמצאת בקו המחבר בין גבעת עמל לאל עראקיב - שיחה מקומית,,,,,2017-12-25,orly_noy,1196,4,"Zionism (2), Peace (2)",,,2.0,1.6722,2.0,1.6722,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/פסטיבל-יאפא-לאופטימיות-אנשים-חזרו-לחי/,LocalCall,אורלי נוי,www_mekomit_co_il_d7a4d7a1d798d799d791d79c-d799d790d7a4d790-d79cd790d795d7a4d798d799d79ed799d795d7aa.html,2022-5-17,"פסטיבל יאפא לאופטימיות: ""אנשים חזרו לחיות ביחד, וחוזרים גם לתיאטרון"" - שיחה מקומית",,,,,2022-05-17,orly_noy,2023,2,Zionism (2),,,2.0,0.9886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/אי-צדק-פואטי-נפתח-משפטה-של-משוררת-שנעצר/,LocalCall,יואב חיפאווי,www_mekomit_co_il_d790d799-d7a6d793d7a7-d7a4d795d790d798d799-d7a0d7a4d7aad797-d79ed7a9d7a4d798d794-d.html,2016-4-16,אי-צדק פואטי: נפתח משפטה של משוררת שנעצרה בשל פרסומים בפייסבוק - שיחה מקומית,,,,,2016-04-16,yoav_haifawi,2625,14,"Colonialism (2), Zionism (2), BDS / Boycott (2), Occupation (4), Peace (4)",2.0,0.7619,2.0,0.7619,4.0,1.5238,,,4.0,1.5238,2.0,0.7619,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/רוצים-שוויון-בנטל-תפרידו-דת-ממדינה/,LocalCall,אורלי נוי,www_mekomit_co_il_d7a8d795d7a6d799d79d-d7a9d795d795d799d795d79f-d791d7a0d798d79c-d7aad7a4d7a8d799d79.html,2024-7-1,"רוצים ""שוויון בנטל""? תפרידו דת ממדינה - שיחה מקומית",,,,,2024-07-01,orly_noy,1739,6,"Jewish supremacy (4), Genocide (2)",,,,,,,,,,,,,4.0,2.3002,2.0,1.1501,,,,,,,,,,,,,,,,,,,,,,
https://www.mekomit.co.il/ירושלים-וההבדל-בין-אבנים-של-יהודים-וער/,LocalCall,נדב פרץ וייסוידובסקי,www_mekomit_co_il_d799d7a8d795d7a9d79cd799d79d-d795d794d794d791d793d79c-d791d799d79f-d790d791d7a0d79.html,2015-9-18,יש הבדל אחד חשוב בין זורקי אבנים יהודים וערבים - שיחה מקומית,,,,,2015-09-18,נדב_פרץ_וייסוידובסקי,1176,10,Occupation (10),,,,,,,,,10.0,8.5034,,,,,,,,,,,,,,,,,,,,,,,,,,,,
